,clientId,channelGrouping,date,visitNumber,visitId,hitNumber,hour,minute,campaign,medium,keyword,city,pagePath,eventCategory,eventAction,eventLabel,v2ProductName,v2ProductCategory
678,81626327.1561036703,Direct,20190620,1,1561036702,15,15,18,(not set),(none),(not set),Lyon,/fr_fr/catalogsearch/result/,E-commerce,Product impression,Product Impression 14,Ava Round ring,Bridal
679,103429517.1548103712,Organic Search,20190121,2,1548105610,3,22,20,(not set),organic,(not provided),Paris,/fr_fr/les-creations/haute-joaillerie/nature-triomphante.html,Video,Nature_TriomphanteFR - Pause,/fr_fr/les-creations/haute-joaillerie/nature-triomphante.html,,
680,1056651689.1548665010,Paid Search,20190128,1,1548665009,2,9,44,[Search] [FR] Marque,cpc,boucheron,Boulogne-sur-Mer,/fr_fr/,Newsletter,newsletter Popin Displayed,/fr_fr/,,
681,670526536.1513335974,Paid Search,20190612,9,1560332252,11,11,37,[Search] [FR] Marque,cpc,boucheron,Paris,/fr_fr/catalogsearch/result/,E-commerce,Product impression,Product Impression 10,Reflet Medium,Watches
682,670526536.1513335974,Paid Search,20190612,9,1560332252,16,11,37,[Search] [FR] Marque,cpc,boucheron,Paris,/fr_fr/catalogsearch/result/,E-commerce,Product impression,Product Impression 15,Pompon Pendant Earrings,Jewelry
683,358744754.1555567683,Display,20190418,1,1555567683,3,8,8,_dfa_49701:4734027:22565521,cpm,(not set),Hyeres,/fr_fr/jack-play-it-your-way.html,Newsletter,newsletter Popin Displayed,/fr_fr/jack-play-it-your-way.html,,
684,1776081110.1556255917,Display,20190426,1,1556255917,3,7,19,_dfa_49701:4734027:22565521,cpm,(not set),Vigneux-sur-Seine,/fr_fr/jack-play-it-your-way.html,Video,Start playing,Boucheron-Jack,,
685,1914693609.1513965125,Email,20190717,3,1563385447,4,19,44,Paris_vudu26_FR_2019_July,email,Paris_vudu26_FR_2019_July,Saint-Cloud,/fr_fr/les-creations/haute-joaillerie/paris-vu-du-26.html,Navigation,Outbound link,https://medias.boucheron.com/skin/frontend/boucheron/default/images/hj-paris-vu-du-26/1200/JRG0299053.png,,
686,1431075732.1557848961,Organic Search,20190514,1,1557848961,62,17,52,(not set),organic,(not provided),Paris,/fr_fr/les-creations/joaillerie/serpent-boheme.html,E-commerce,Product impression,Product Impression 8,Serpent Bohème pendant S Motif,Jewelry
687,434752647.1556994168,Organic Search,20190504,1,1556994168,149,20,49,(not set),organic,(not provided),Paris,/fr_fr/guide/index/step3/,Gift Guide,Item selection,Creative,,
688,181502279.1551111435,Direct,20190226,3,1551172786,2,10,19,(not set),(none),(not set),Marseille,/fr_fr/les-creations/joaillerie/architecture/collier-vendome-chromatique.html?pageCategory=product,Product,Hide Price,Collier Vendôme Chromatique,,
689,535113511.1549827607,Direct,20190814,4,1565797642,10,17,47,(not set),(none),(not set),Paris,/fr_fr/catalogsearch/result/,E-commerce,Product impression,Product Impression 9,"Nara, the Doe Ring",not provided
690,1266480942.1565708543,Direct,20190813,1,1565708543,20,17,29,(not set),(none),(not set),Paris,/fr_fr/les-creations/joaillerie/quatre/bracelet-quatre-clou-de-paris-12-diamants-or-rose.html,Product,Get to product details,More detail,,
691,2146279148.1566231273,Direct,20190819,1,1566231265,22,18,17,(not set),(none),(not set),Bethune,/fr_fr/catalogsearch/result/,E-commerce,Product impression,Product Impression 8,"Serpent Bohème Two-stone ring, S Motifs",Jewelry
692,465135436.1560598730,Direct,20190615,1,1560598730,42,13,41,(not set),(none),(not set),Albi,/fr_fr/catalogsearch/result/,E-commerce,Product impression,Product Impression 9,EPURE TOURBILLON DAMIER CABOCHON,Watches
